"match_id","home_team_id","away_team_id","competition_id","season_id","date_time","gameweek","home_ft_score","away_ft_score","home_corners","away_corners"
8826964,3162,3185,524,188160,2023-04-22 16:00:00,31,0,1,3,4
8823251,702,690,795,188124,2023-03-11 15:15:00,25,1,1,10,3
8341130,5638,5655,255,187965,2022-05-02 23:00:00,4,2,1,2,4
6593847,1650,1663,346,186333,2021-03-03 19:00:00,34,1,3,3,6
10480075,1669,1628,364,188989,2023-08-26 14:00:00,3,1,1,8,6
10480133,1613,1669,364,188989,2023-09-16 16:30:00,5,1,0,8,3
11932860,5685,5812,255,189744,2024-07-04 00:30:00,14,3,1,3,8
10521286,680,698,795,189012,2023-12-16 17:30:00,17,0,3,4,2
7517862,3770,3782,412,187374,2022-05-21 19:00:00,38,1,1,5,5
10607521,3194,3172,524,188994,2023-09-27 16:30:00,6,0,1,4,1
10572211,2460,2481,426,188974,2024-02-17 14:30:00,22,1,0,7,7
10567276,3779,3788,412,189971,2024-02-18 12:00:00,22,1,3,9,4
7246228,5648,5656,255,187168,2021-06-27 19:00:00,7,1,1,8,5
8785081,2481,2451,426,188082,2022-10-08 13:30:00,9,1,1,11,5
8786319,3803,3769,412,188122,2023-05-14 13:00:00,35,1,0,6,0
8826861,3315,3172,524,188160,2023-02-04 19:45:00,21,1,0,2,7
8777066,1629,1628,364,188095,2023-04-25 18:30:00,33,2,0,6,11
11873143,5663,5685,255,189744,2024-04-28 21:30:00,4,1,1,12,6
6542876,2459,2443,426,186265,2021-03-10 17:30:00,20,0,2,9,0
6589590,1623,1616,364,186810,2021-02-14 19:00:00,24,0,2,5,4
7517753,3775,3770,412,187374,2022-01-14 20:00:00,21,2,1,3,5
7246139,5650,5653,255,187168,2021-08-08 19:00:00,15,1,2,4,5
8819376,10531,1621,346,188096,2022-08-06 14:00:00,2,0,3,5,4
10518646,1666,10531,346,188987,2024-03-29 15:00:00,39,1,1,3,4
10572201,2446,2460,426,188974,2024-02-23 19:30:00,23,2,1,11,2
10572084,2975,2453,426,188974,2023-11-12 18:30:00,11,3,1,7,3
8785098,2482,2444,426,188082,2022-10-22 13:30:00,11,0,2,7,5
6542849,2445,2449,426,186265,2021-02-27 14:30:00,23,5,1,11,9
10518157,1631,1638,346,188987,2023-12-13 19:45:00,21,3,2,9,3
10517804,1640,1649,346,188987,2023-11-28 19:45:00,18,1,0,7,6
8822986,698,675,795,188124,2022-10-08 19:00:00,8,0,1,4,4
6594118,1640,1618,346,186333,2020-11-20 19:45:00,12,0,0,1,2
11932934,5657,5685,255,189744,2024-08-03 22:00:00,21,2,2,4,3
6185035,5653,5654,255,186667,2020-11-08 21:15:00,20,4,0,2,7
10521287,684,714,795,189012,2023-11-26 20:00:00,14,1,0,7,6
8341173,5653,5660,255,187965,2022-04-24,3,2,2,3,3
8823140,698,676,795,188124,2023-04-16 14:15:00,29,0,0,1,5
6425535,3782,3771,412,186243,2021-05-09 11:00:00,36,1,0,10,4
8822948,756,690,795,188124,2022-09-09 19:00:00,5,2,1,3,12
8341368,5659,5669,255,187965,2022-08-06 19:30:00,21,1,1,3,8
6425284,3776,3767,412,186243,2020-12-20 20:00:00,16,0,0,4,5
6425386,3775,3802,412,186243,2021-04-11 13:00:00,32,0,0,10,6
8785136,2500,2457,426,188082,2022-08-06 13:30:00,1,3,1,5,4
8826856,3168,3192,524,188160,2023-01-27 19:45:00,20,1,2,4,4
8785792,3788,3797,412,188122,2022-08-28 13:00:00,4,2,1,3,4
6425414,3802,3766,412,186243,2021-03-12 20:00:00,29,1,1,2,5
6639392,3176,3172,524,186353,2021-04-11 18:45:00,30,2,3,0,6
8785187,2453,2445,426,188082,2023-02-11 14:30:00,20,2,1,4.7,3.5
7606629,3205,3172,524,187528,2022-05-08 10:30:00,36,1,3,0,3
8823313,713,684,795,188124,2023-01-08 15:15:00,16,1,2,5,7
11932982,5812,5642,255,189744,2024-09-14 19:00:00,26,0,2,9,6
7511993,1650,1616,346,187482,2022-04-02 14:00:00,40,0,2,4,5
10572128,2975,2446,426,188974,2024-01-20 17:30:00,18,2,3,1,9
10567161,3797,3802,412,189971,2024-04-28 13:00:00,31,4,1,5,5
6639521,3193,3166,524,186353,2021-01-09 17:00:00,17,2,0,1,4
6594232,1655,1666,346,186333,2020-09-27 12:00:00,3,2,0,6,2
8776791,1613,1628,364,188095,2022-09-03 14:00:00,6,0,0,13,5
8786145,3769,3770,412,188122,2023-04-16 13:00:00,31,2,1,3,6
10567042,3779,3787,412,189971,2023-09-17 13:00:00,5,2,2,2,4
7517607,3779,3797,412,187374,2022-05-14 19:00:00,37,1,0,3,2
6185112,5653,5660,255,186667,2020-12-26 20:00:00,27,2,0,13,3
11932858,5638,5677,255,189744,2024-06-30 19:00:00,13,3,1,4,4
9967568,5663,5649,255,188756,2023-09-30 19:00:00,25,1,1,3,7
10517472,1620,1673,346,188987,2023-08-19 14:00:00,3,1,1,7,8
6639566,3205,3166,524,186353,2020-12-16 19:45:00,12,2,2,3,4
7485304,1628,1611,364,187475,2022-05-22 15:00:00,38,1,0,3,6
8785051,2454,2975,426,188082,2022-09-17 16:30:00,7,3,0,8,3
7516573,2448,2446,426,187511,2022-04-10 13:30:00,29,0,0,2,3
8786190,3771,19830,412,188122,2023-01-28 20:00:00,20,1,1,6,3
10521170,696,674,795,189012,2023-09-02 16:30:00,4,1,0,1,2
7485467,1629,1624,364,187475,2021-08-22 13:00:00,2,0,1,5,4
6425477,3767,3813,412,186243,2021-02-03 20:00:00,23,3,0,4,7
8819375,1636,1638,346,188096,2022-08-06 14:00:00,2,2,0,3,5
6184992,5660,5663,255,186667,2020-10-11 19:00:00,15,0,0,2,4
8819515,1650,1637,346,188096,2022-10-07 19:00:00,14,2,1,4,5
6185222,5812,5660,255,186667,2021-02-26 00:30:00,38,3,1,7,4
11933076,5654,5644,255,189744,2024-12-01 19:00:00,36,3,2,6,4
8826777,3172,3187,524,188160,2022-11-05 17:00:00,13,1,2,5,2
11985832,1611,1636,364,188989,2024-04-24 19:00:00,29,4,2,8,4
10521211,687,686,795,189012,2023-10-21 12:00:00,10,1,0,2,5
6589461,1624,1609,364,186810,2020-12-06 16:30:00,11,2,0,3,9
7606676,3193,3162,524,187528,2022-04-10 10:30:00,32,1,4,3,6
6184930,5644,5669,255,186667,2020-09-10 22:15:00,9,2,0,10,4
10518114,1641,1644,346,188987,2023-12-16 15:00:00,22,1,5,9,5
10521125,680,674,795,189012,2023-08-11 20:00:00,1,1,2,8,1
7535914,686,684,795,187526,2021-08-14 17:30:00,1,1,1,3,3
8776914,1612,1631,364,188095,2022-12-30 20:00:00,18,2,1,4,5
6632584,698,679,795,186267,2021-03-13 20:00:00,27,0,0,3,11
7246194,5653,5654,255,187168,2021-07-07 22:00:00,10,2,1,3,6
7536160,676,681,795,187526,2022-03-13 20:00:00,28,4,0,5,1
7536042,676,700,795,187526,2022-04-18 19:00:00,32,0,1,8,1
6593763,1641,1669,346,186333,2021-04-10 14:00:00,41,0,5,3,7
6632773,846,695,795,186267,2020-11-01 17:30:00,8,1,1,2,8
6542941,2445,2975,426,186265,2021-01-02 19:30:00,14,0,1,3,6
6589704,1633,1623,364,186810,2021-05-09 15:30:00,35,0,1,5,6
6593712,1678,1659,346,186333,2021-05-01 14:00:00,45,1,0,4,1
8823065,680,702,795,188124,2023-01-28 17:30:00,19,3,0,5,2
10572183,2445,2500,426,188974,2024-03-08 19:30:00,25,2,0,4,3
7536032,695,713,795,187526,2021-09-11 16:30:00,4,1,1,2,5
11664806,2460,2500,426,188974,2024-02-07 17:30:00,18,1,1,8,3
8826956,3178,3161,524,188160,2023-04-23 10:30:00,31,0,3,5,4
10480383,1613,1651,364,188989,2024-05-11 14:00:00,37,1,1,7,4
10607826,3185,3168,524,188994,2024-02-16 18:00:00,25,2,0,5,5
10607650,3159,3187,524,188994,2023-12-08 19:45:00,15,1,0,3,6
10517780,1673,1619,346,188987,2023-11-25 15:00:00,17,1,1,2,7
8776806,1628,1610,364,188095,2022-10-01 14:00:00,9,1,2,5,2
6632691,681,696,795,186267,2020-12-31 15:15:00,16,1,1,5,4
6185200,5657,5644,255,186667,2021-02-14 19:00:00,36,0,2,3,9
6184919,5656,5659,255,186667,2020-09-05 22:00:00,8,2,2,12,6
8785765,3780,3775,412,188122,2022-08-07 11:00:00,1,1,1,6,3
6593871,1621,1644,346,186333,2021-02-24 19:45:00,32,2,3,7,6
9967356,5646,5656,255,188756,2023-04-29 21:30:00,3,2,1,12,3
10518943,1649,1672,346,188987,2024-05-04 11:30:00,46,1,0,6,8
11933075,5663,5654,255,189744,2024-11-26 23:00:00,35,0,0,5,5
8819495,1655,1650,346,188096,2022-10-01 14:00:00,12,1,2,8,2
7517908,3795,3782,412,187374,2021-11-21 14:00:00,14,0,1,6,8
6425344,3766,3782,412,186243,2020-11-08 20:00:00,10,2,1,3,5
6589422,1629,1628,364,186810,2020-10-30 20:00:00,7,2,0,7,6
7246034,5650,5673,255,187168,2021-10-10,25,1,1,3,4
7485482,1626,1612,364,187475,2021-08-14 16:30:00,1,0,3,3,11
6185025,5654,5638,255,186667,2020-11-01 19:00:00,19,1,4,6,4
10518359,1655,1619,346,188987,2024-02-13 20:00:00,32,3,1,6,5
8776777,1659,1629,364,188095,2022-08-31 18:30:00,5,0,0,2,5
7511952,1620,1673,346,187482,2022-04-18 11:30:00,43,0,2,11,4
11340511,5640,5646,255,188756,2023-12-07 00:30:00,38,1,1,3,4
8823209,675,713,795,188124,2023-05-24 17:30:00,36,2,1,5,2
8826694,3194,3164,524,188160,2022-09-04 16:00:00,5,2,1,7,2
6542767,2443,2446,426,186265,2021-05-08 13:30:00,32,0,0,4,6
6589560,1631,1630,364,186810,2021-01-31 14:00:00,21,1,3,5,4
6425197,3779,3804,412,186243,2020-09-20 13:00:00,4,1,0,8,2
11617151,1630,1626,346,188987,2024-01-24 19:45:00,29,1,0,4,2
8823161,691,698,795,188124,2023-04-30 16:30:00,32,1,0,5,3
8785927,3780,3781,412,188122,2023-01-01 14:00:00,17,2,0,5,2
10480350,1636,1610,364,188989,2024-04-07 16:30:00,32,2,2,7,6
6589729,1630,1627,364,186810,2021-05-23 15:00:00,38,3,1,8,3
10518319,1620,1626,346,188987,2024-03-06 19:45:00,36,3,1,2,2
10607845,3166,3192,524,188994,2024-04-01 10:30:00,30,3,0,5,3
10567041,3773,3777,412,189971,2023-09-16 19:00:00,5,0,1,9,1
10567045,3770,3793,412,189971,2023-11-26 14:00:00,13,0,0,10,5
6632718,678,802,795,186267,2020-12-18 20:00:00,14,2,0,5,5
6594123,1666,1638,346,186333,2020-11-07 15:00:00,11,0,0,5,4
6639570,3161,3187,524,186353,2020-12-16 19:45:00,12,1,0,4,3
8819579,1620,1655,346,188096,2022-11-05 15:00:00,20,1,1,8,1
6542943,2443,2500,426,186265,2021-01-02 14:30:00,14,0,2,6,5
10567169,3780,3771,412,189971,2024-04-21 17:15:00,30,2,2,7,4
8819598,1621,1641,346,188096,2022-12-10 12:00:00,22,1,4,2,2
7512361,10531,10529,346,187482,2021-10-17 11:00:00,12,3,0,8,5
10607505,3254,3176,524,188994,2023-09-28 16:30:00,6,1,1,8,10
10572301,2443,2448,426,188974,2024-05-18 13:30:00,34,4,1,8,8
10518641,1620,10531,346,188987,2024-04-06 14:00:00,41,2,0,4,6
10517423,1630,10529,346,188987,2023-08-06 13:30:00,1,2,2,10,0
10607770,3192,3172,524,188994,2024-05-06 16:00:00,35,1,2,1,7
7246102,5663,5677,255,187168,2021-12-10 00:30:00,38,2,1,6,3
11873140,5657,5641,255,189744,2024-04-27 19:00:00,4,0,4,5,4
8785139,2449,2460,426,188082,2022-11-09 19:30:00,14,1,0,1,6
6632768,679,700,795,186267,2020-11-07 20:00:00,9,4,0,2,7
7535897,713,846,795,187526,2021-08-29 17:30:00,3,4,0,5,6
6184963,5669,5643,255,186667,2020-09-27 21:15:00,12,2,2,11,7
8785033,2449,2500,426,188082,2022-08-27 13:30:00,4,1,6,8,2
8819380,1636,1632,346,188096,2022-08-17 19:00:00,4,2,1,13,3
