"match_id","home_team_id","away_team_id","competition_id","season_id","date_time","gameweek","oh","oa","od","odds_type"
12449818,1638,1627,346,189951,2025-02-15 15:00:00,33,NA,NA,NA,"OU"
13578813,5650,5653,255,191431,2025-05-05 23:00:00,7,NA,NA,NA,"OU"
12406033,1669,1612,364,189908,2025-01-18 15:00:00,22,1.75,2.05,10.5,"OU"
12623171,2462,2444,426,189970,2024-10-06 15:30:00,6,1.84,1.98,2.5,"HC"
12449838,1650,1672,346,189951,2024-10-01 18:45:00,8,NA,NA,NA,"OU"
12623827,3191,3161,524,189973,2025-01-12 14:00:00,20,1.93,1.89,3.5,"HC"
12450021,1627,1626,346,189951,2024-11-23 15:00:00,16,NA,NA,NA,"1X2"
12412195,698,713,795,189974,2024-08-24 19:30:00,2,1.85,2.25,7.4,"1X2"
12409683,1669,1611,364,189908,2025-05-04 13:00:00,35,1.82,1.98,10.5,"OU"
12425230,3782,3767,412,189972,2025-03-29 18:00:00,27,1.78,2.04,4.5,"HC"
12425730,3803,3782,412,189972,2024-08-31 15:00:00,3,NA,NA,NA,"OU"
12425251,3771,3773,412,189972,2025-03-08 20:00:00,25,1.52,2.9,8.2,"1X2"
12449905,1666,1630,346,189951,2024-08-23 19:00:00,3,1.96,1.84,10.5,"OU"
12624162,3160,3200,524,189973,2025-05-03 13:00:00,35,1.91,1.91,0.5,"HC"
12405919,1651,1610,364,189908,2025-02-14 20:00:00,25,2.09,2.04,6.6,"1X2"
12406038,1623,1624,364,189908,2025-01-19 14:00:00,22,2.15,1.86,8.3,"1X2"
12405866,1611,1616,364,189908,2024-08-16 19:00:00,1,1.95,1.85,11.5,"OU"
12623874,3178,3168,524,189973,2025-01-11 14:00:00,20,1.97,1.85,-1.5,"HC"
12623580,2446,2445,426,189970,2024-11-01 19:30:00,9,1.34,3.75,9.2,"1X2"
12405994,1619,1634,364,189908,2024-09-21 14:00:00,5,1.57,2.72,8.5,"1X2"
12450497,1655,1627,346,189951,2025-04-08 18:45:00,41,NA,NA,NA,"OU"
12623948,3168,3176,524,189973,2024-10-20 13:00:00,8,NA,NA,NA,"1X2"
12412124,687,712,795,189974,2025-02-23 20:00:00,25,1.88,1.92,9.5,"OU"
12623720,3176,3193,524,189973,2025-02-02 14:00:00,23,2,1.8,9.5,"OU"
12412263,675,682,795,189974,2024-10-05 19:00:00,9,1.14,6.5,11,"1X2"
12450291,1655,1626,346,189951,2025-03-14 20:00:00,38,1.8,2.02,-1.5,"HC"
12623924,3185,3163,524,189973,2025-04-23 16:30:00,33,1.75,2.43,7.2,"1X2"
12449930,1641,1630,346,189951,2024-12-14 12:30:00,21,3.3,1.43,8.8,"1X2"
12624172,3185,3193,524,189973,2025-02-08 19:45:00,24,1.63,2.62,8.1,"1X2"
12450530,1644,1646,346,189951,2025-04-18 14:00:00,43,2.34,1.77,7.8,"1X2"
12450516,1640,1627,346,189951,2025-04-18 14:00:00,43,NA,NA,NA,"1X2"
12425725,3780,3771,412,189972,2024-08-31 19:00:00,3,NA,NA,NA,"OU"
12425300,3779,3775,412,189972,2025-04-12 19:05:00,29,2.11,2.08,6,"1X2"
12623235,2445,2444,426,189970,2025-02-28 19:30:00,24,NA,NA,NA,"OU"
12405903,1659,1629,364,189908,2025-02-22 15:00:00,26,NA,NA,NA,"OU"
12406223,1625,1610,364,189908,2025-01-25 17:30:00,23,1.53,2.85,8.5,"1X2"
12623803,3157,3178,524,189973,2024-11-30 17:00:00,14,1.72,2.08,9.5,"OU"
12450024,1660,1672,346,189951,2024-11-23 15:00:00,16,NA,NA,NA,"OU"
12623945,3178,3173,524,189973,2025-04-06 13:00:00,31,1.91,2.18,7.2,"1X2"
12412033,713,714,795,189974,2024-11-08 20:00:00,13,1.4,3.5,8.3,"1X2"
12450557,1666,1622,346,189951,2025-04-26 14:00:00,45,NA,NA,NA,"1X2"
12450087,10531,1636,346,189951,2025-01-21 19:45:00,28,NA,NA,NA,"1X2"
12450054,1638,1641,346,189951,2024-09-28 14:00:00,7,NA,NA,NA,"OU"
12450016,1650,1620,346,189951,2024-11-05 19:45:00,14,2.36,1.75,8,"1X2"
12623411,2451,2454,426,189970,2025-01-14 19:30:00,17,1.88,1.94,-1.5,"HC"
12409642,1629,1624,364,189908,2025-04-13 13:00:00,32,1.97,1.85,-0.5,"HC"
12425731,3779,3799,412,189972,2024-09-15 15:00:00,4,1.56,2.8,8.1,"1X2"
12449972,1655,1638,346,189951,2024-08-17 14:00:00,2,NA,NA,NA,"OU"
12450514,1627,1644,346,189951,2025-04-12 14:00:00,42,NA,NA,NA,"1X2"
12449899,1622,1666,346,189951,2024-10-25 19:00:00,12,2.24,1.94,6.2,"1X2"
12623133,3779,3802,412,189972,2024-12-08 16:00:00,14,2,1.8,9.5,"OU"
12623949,3194,3236,524,189973,2024-10-21 18:45:00,8,NA,NA,NA,"OU"
12412180,675,713,795,189974,2025-03-09 15:15:00,27,NA,NA,NA,"OU"
12623978,3185,3161,524,189973,2025-05-11 16:00:00,36,1.68,2.13,8.5,"OU"
12412006,756,696,795,189974,2025-04-05 12:00:00,30,NA,NA,NA,"OU"
12425721,3771,3802,412,189972,2024-08-25 18:45:00,2,1.36,3.25,8.8,"1X2"
12412089,686,682,795,189974,2024-09-14 12:00:00,5,1.57,2.9,7,"1X2"
12449973,1627,1655,346,189951,2024-12-22 15:00:00,22,1.73,2.42,7.5,"1X2"
12623348,2481,2658,426,189970,2025-01-25 14:30:00,19,1.85,1.97,-1.5,"HC"
12623766,3159,3185,524,189973,2024-11-09 19:45:00,12,1.87,1.93,9.5,"OU"
12623879,3187,3157,524,189973,2025-03-30 18:45:00,30,1.9,1.9,9.5,"OU"
12623189,2447,2500,426,189970,2025-02-22 17:30:00,23,1.75,2.07,-2.5,"HC"
12412047,684,712,795,189974,2024-09-13 19:00:00,5,1.89,1.93,-2.5,"HC"
12409759,1609,1611,364,189908,2024-12-04 20:15:00,14,NA,NA,NA,"OU"
12412050,698,676,795,189974,2025-01-18 20:00:00,20,NA,NA,NA,"OU"
12412213,676,681,795,189974,2025-03-27 20:00:00,27,1.16,5.4,13,"1X2"
12412175,756,692,795,189974,2025-03-01 13:00:00,26,1.6,2.8,7.2,"1X2"
12425292,3782,3775,412,189972,2025-03-01 16:00:00,24,1.9,1.9,9.5,"OU"
12412693,713,678,795,189974,2024-12-01 17:30:00,15,2,2.029,7.7,"1X2"
12450157,1647,1666,346,189951,2024-12-01 15:00:00,18,1.92,1.9,-0.5,"HC"
12449899,1622,1666,346,189951,2024-10-25 19:00:00,12,NA,NA,NA,"OU"
12409686,1612,1633,364,189908,2025-04-13 13:00:00,32,1.19,5.3,10.5,"1X2"
12425795,3766,3787,412,189972,2025-01-04 20:00:00,16,2.02,1.8,-3.5,"HC"
12412093,674,696,795,189974,2024-12-22 13:00:00,18,1.85,1.97,-1.5,"HC"
12412182,712,687,795,189974,2024-12-08 13:00:00,16,3.05,1.5,8,"1X2"
12449860,10531,10529,346,189951,2024-08-25 14:00:00,3,NA,NA,NA,"OU"
12449809,10531,1666,346,189951,2025-02-12 19:45:00,32,1.84,2.2,8.1,"1X2"
12450529,1641,1650,346,189951,2025-04-18 14:00:00,43,1.8,2.5,6,"1X2"
12623201,2482,2500,426,189970,2025-02-08 14:30:00,21,NA,NA,NA,"OU"
12425761,3782,3779,412,189972,2024-11-02 20:00:00,10,1.92,1.9,0.5,"HC"
12450486,10531,1647,346,189951,2025-04-05 14:00:00,40,NA,NA,NA,"OU"
12409717,1611,1625,364,189908,2025-04-06 15:30:00,31,2.62,1.61,8.6,"1X2"
12449876,10529,1638,346,189951,2024-10-01 18:45:00,8,NA,NA,NA,"1X2"
12623928,3176,3194,524,189973,2024-11-10 14:00:00,12,1.26,4.4,10,"1X2"
13578967,5669,5638,255,191431,2025-04-26 21:30:00,6,1.7,2.48,7.7,"1X2"
12509905,3162,3157,524,189973,2024-08-31 18:45:00,3,1.86,1.94,9.5,"OU"
12450138,1626,1660,346,189951,2024-11-30 15:00:00,18,NA,NA,NA,"1X2"
12623687,3162,3200,524,189973,2025-01-10 19:45:00,20,1.85,1.95,9.5,"OU"
12623168,2658,2460,426,189970,2025-02-16 18:30:00,22,1.9,1.9,9.5,"OU"
12623869,3158,3162,524,189973,2025-01-05 19:45:00,19,1.99,1.83,-0.5,"HC"
12450564,1632,1650,346,189951,2025-05-03 11:30:00,46,NA,NA,NA,"OU"
12412184,676,678,795,189974,2024-08-24 17:00:00,2,1.4,3.4,8.8,"1X2"
12623880,3176,3172,524,189973,2025-03-30 13:00:00,30,2,1.8,8.5,"OU"
12405985,1624,1611,364,189908,2025-02-16 16:30:00,25,1.8,2.25,8.3,"1X2"
12405863,1610,1625,364,189908,2024-08-18 15:30:00,1,1.82,1.98,10.5,"OU"
12450027,1641,1647,346,189951,2024-11-23 15:00:00,16,NA,NA,NA,"OU"
12623803,3157,3178,524,189973,2024-11-30 17:00:00,14,1.18,5.4,11,"1X2"
12409630,1611,1613,364,189908,2024-12-30 20:00:00,19,1.95,2.1,7.8,"1X2"
12624199,3236,3159,524,189973,2024-12-22 19:45:00,17,1.9,1.92,1.5,"HC"
