"match_id","home_ft_score","away_ft_score","home_corners","away_corners"
12409670,0,2,4,5
12409748,1,2,2,3
12409691,1,0,5,3
12409683,4,3,7,3
12409668,1,1,1,4
12409678,3,1,3,6
12409648,1,1,7,4
12409628,2,2,2,3
12409711,2,0,7,7
12409624,1,0,4,4
12409653,1,1,1,3
12409669,0,1,11,0
12409647,1,3,5,5
12409741,0,1,5,6
12409664,2,2,3,1
12409655,0,2,8,5
12409672,2,0,2,8
12409643,2,2,4,4
12409662,0,0,1,15
12409718,0,2,4,8
12409738,0,2,7,4
12412044,1,0,5,2
12412117,2,3,9,5
12412644,0,0,3,5
12435905,1,2,3,7
12412129,0,0,7,3
12412069,1,2,4,8
12412141,3,2,4,6
12412045,1,0,7,3
12412121,4,2,2,8
12412088,2,2,8,2
12412226,4,0,3,3
12412241,4,3,10,2
12412197,1,1,6,7
12412181,3,2,3,6
12412201,0,1,5,3
12412207,2,1,5,10
12412199,0,1,8,8
12412166,3,0,2,6
12412170,1,0,9,2
12435902,3,2,3,8
12450546,4,0,11,1
12450558,2,2,7,3
12450559,3,1,7,4
12450561,2,0,5,5
12450560,0,0,5,4
12450568,4,2,6,9
12450567,1,2,1,7
12450562,1,1,5,5
12450565,1,1,8,4
12450564,0,1,11,1
12450563,3,3,5,4
12450569,1,1,8,2
12450566,5,3,6,4
13819237,0,3,2,5
13819243,1,2,10,4
13819246,3,0,5,4
12425270,1,2,8,2
12425248,1,1,2,5
12425295,1,0,5,3
12425185,1,0,4,6
12425216,1,3,6,5
12425278,0,1,4,6
12425186,2,1,6,5
12425214,2,1,5,2
12425204,1,2,0,9
12425201,0,2,4,5
12425272,1,1,7,3
12425195,2,1,2,6
12425253,1,3,2,9
12425288,2,0,1,5
12425219,1,4,5,4
12425225,1,1,2,1
12425206,2,0,3,6
12425260,2,0,3,5
12623795,0,2,2,3
12623912,2,2,5,1
12623804,0,0,5,6
12623808,1,1,10,3
12623929,1,2,5,4
12623724,0,1,2,7
12623738,1,2,8,7
12623691,1,0,4,3
